,,,,,,,,,,,All,,,,,,,ALL,,,,,Mic only,,,,,All,,,,,,,,None,,,,,None,,,,,None,,,,,All,,,,,,All,,,,,All,,,,,,All,,,,,,All,,,,,,All,,,,,,All,,,,,,All,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,All,,,,,Mic,,,,,,,????,,,Mic,,,None,,,,,Mic,,,Mic,,,,,,
,,,,,,What is your current hair colour?,,,,,Please describe your hair length ?,,,,,,,Please describe your hair texture ,,,,,How would you describe your hair's natural state,,,,,Please describe your hair condition ?,,,,,,,,How would you describe your natural hair volume,,,,,How often do you wash your hair per week?,,,,,How often do you condition your hair per week ?,,,,,How often do you blow dry your hair?,,,,,,How often do you use straightening or curling irons ?,,,,,Do you chemically straighten or perm your hair?,,,,,,How often do you bleach your hair ?,,,,,,How often do you permanently colour your hair ?,,,,,,How often do you use semi-premanent colour on your hair ?,,,,,,How often do you have highlights/lowlights?,,,,,,Do you often experience any of the following with regard to your hair ?,,,,,,,,,,,,Do you often experience any of these scalp conditions?,,,,,,What are your most desired benefits?,,,,,,,,,,,,,,,,Please select your age group?,,,,,,,What statement describes you best?,,,,,Ends,,,,Colour Fade,,,Diameter,,,Alignment,,,Scalp,,,,,Density,,,Cuticle,,,,,,
,,,,,,Blonde,Red,Brown,Black,Grey,Short (to the chin),Intermediate: short-Medium,Medium (to the shoulders),Intermediate: Medium-Long,Long (to the breast),Intermediate: Long-very long,Very long (below the waist),Fine or Light,Intermediate: medium - fine,Medium,Intermediate: Medium-thick,Thick or Coarse,Straight,Slightly wavy,Wavy,Curly,Very Curly,Very dry,Dry hair,normal-dry,Normal,normal-greasy,Greasy,Greasy roots with dry ends,Very greasy,Very high,Quite high,Normal,Quite Low, VeryLow,More often than once per day,Every day,Three to four times per week,Twice a week,Once a week,Every wash,Once every two to three washes,Once every four to five washes,Once every six or more washes,Never,Every day,Three to four times per week,More than twice a week,Once a week,Less than once a week / Never,Never,Every day,More than twice a week,Once a week,Less than once a week,Never,More than once a month,Once a month,Every 1-3 months,Every 3-6 months,Every 6-12 months,Never,More than once per month,Once per month,Every 1-3 months,Every 3-6 months,Every 6-12 months,Never,More than once per month,Once per month,Every 1-3 months,Every 3-6 months,Every 6-12 months,Never,More than once per month,Once per month,Every 1-3 months,Every 3-6 months,Every 6-12 months,Never,More than once per month,Once per month,Every 1-3 months,Every 3-6 months,Every 6-12 months,Never,Brittle/breaks easily,Tangles after washing,Frizz or flyaways,Damaged,Greying,Hair loss,Dull,Split ends,Fluffy,Colour fade,Unmanageability,None of the above,Oily scalp,Dry scalp,Itchy scalp,Dandruff / Flakes,Sensitive scalp,None of the above,Less Volume,More Volume,Straighter (created),Curlier (created),Longer hair,More Shine,Softer,Smoother,Natural movement,Natural curls,Defined Curls (enhance),Perfect straight (enhance),More abundant,Thicker hair,Finer hair,No change,Age <18,Under 25,26-35,36-45,46-55,Over 55,Over 65,I prefer to look refined and elegant on most occasions,"Beauty is not about being perfect, but looking natural",I like brands that give me a sense of success and make me feel glamorous,Looking put together doesnÕt have to cost a great deal of money,"Although I cannot control everything in life, I am optimistic that  life will treat me well","Parameter 1
Split ends",Bobbles,"Parameter 1
Kinks","Parameter 1
Healthy","Parameter 2
Fade high","Parameter 2
Fade medium","Parameter 2
Fade no",Parameter 3 diameter coarse,Parameter 3 diameter medium,Parameter 3 diameter fine,Parameter 4 Alignment bad,Parameter 4 Alignment Medium,Parameter 4 Alignment Good,Scalp Dandruffs,Scalp Dry,Scalp Oily,Scalp Redness,Scalp Healthy,Density High,Density Medium,Density low,Cuticle Healthy,Cuticle Damaged,No cuticle,Score microscope,TOTAL w microscope,TOTAL NO microscope,
,,,,Benefit weighting,Question weighting,Q1A1,Q1A2,Q1A3,Q1A4,Q1A5,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q2A6,Q2A7,Q3A1,Q3A2,Q3A3,Q3A4,Q3A5,Q4A1,Q4A2,Q4A3,Q4A4,Q4A5,Q5A1,Q5A2,Q5A3,Q5A4,Q5A5,Q5A6,Q5A7,Q5A8,,,,,,,,,,,,,,,,Q7A1,Q7A2,Q7A3,Q7A4,Q7A5,Q7A6,Q8A1,Q8A2,Q8A3,Q8A4,Q8A5,Q9A1,Q9A2,Q9A3,Q9A4,Q9A5,Q9A6,Q10A1,Q10A2,Q10A3,Q10A4,Q10A5,Q10A6,Q11A1,Q11A2,Q11A3,Q11A4,Q11A5,Q11A6,Q12A1,Q12A2,Q12A3,Q12A4,Q12A5,Q12A6,Q13A1,Q13A2,Q13A3,Q13A4,Q13A5,Q13A6,Q14A1,Q14A2,Q14A3,Q14A4,Q14A5,Q14A6,Q14A7,Q14A8,Q14A9,Q14A10,Q14A11,Q14A12,Q15A1,Q15A2,Q15A3,Q15A4,Q15A5,Q15A6,Q16A1,Q16A2,Q16A3,Q16A4,Q16A5,Q16A6,Q16A7,Q16A8,Q16A9,Q16A10,Q16A11,Q16A12,Q16A13,Q16A14,Q16A15,Q16A16,,Q15A1,Q15A2,Q15A3,Q15A4,Q15A5,Q15A6,,,,,,M1A1,M1A2,M1A3,M1A4,M2A1,M2A2,M2A3,M3A1,M3A2,M3A3,M4A1,M4A2,M4A3,M5A1,M5A2,M5A3,M5A4,M5A5,M6A1,M6A2,M6A3,M7A1,M7A2,M7A3,,,,
,,,,,,1,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,1,,,,,,1,1,,,,,1,1,,,,,1,,,,,,1,1,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,1,,,,1,1,,,,1,,1,1,,,1,1,,1,,1,,,1,,,1,,,1,,,,,1,,,1,,,,,,
Key Product,80,Medium / Normal,Moisture / Nourishment,1,,0,0,0,0,0,0,0,0,2.5,5,7.5,10,5,7.5,10,15,20,0,0,10,20,40,40,40,10,0,-10,-20,-10,-40,40,20,0,-20,-40,20,10,5,20,40,-5,0,5,10,20,10,0,5,0,0,0,10,10,5,0,0,10,10,5,5,5,0,2,1.75,1.5,1,0.5,0,0.125,0.109375,0.09375,0.0625,0.03125,0,0.25,0.21875,0.1875,0.125,0.0625,0,2,1.75,1.5,1,0.5,0,5,5,20,0,5,0,5,10,20,20,0,-5,0,5,0,0,10,0,10,-5,5,0,0,10,20,10,10,20,10,20,-5,-10,10,0,0,10,0,5,5,10,20,0,0,0,0,0,0,0,20,-5,20,5,0,20,0,-5,20,10,0,0,10,-10,5,0,20,0,-10,0,10,10,,,,
,60,,Moisture/Nourishment Ends,1,,0,0,0,0,0,0,0,0,2.5,5,12.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,5,5,0,16,14,12,8,4,0,0.5,0.4375,0.375,0.25,0.125,0,0.5,0.4375,0.375,0.25,0.125,0,8,7,6,4,2,0,0,0,0,0,0,0,0,20,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,20,40,80,-5,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Extremely Appropriate,40,,Anti frizz,1,,0,0,0,0,0,0,0,0,0,0,2.5,5,-10,-5,0,5,10,-10,5,10,20,40,10,10,5,0,-5,-10,-5,-20,20,10,-5,-10,-20,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,80,0,0,0,5,0,10,0,0,-20,0,0,0,0,0,0,20,0,10,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,-10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,30,,Damage protection,1,,0,0,0,0,0,0,0,0,2.5,5,7.5,10,10,5,0,0,0,0,0,0,10,20,40,20,5,0,0,0,10,0,5,0,0,0,0,40,20,0,0,0,0,0,0,10,10,40,0,20,5,-5,-5,40,20,10,10,-5,40,40,40,40,20,-5,16,14,12,8,4,-40,0.5,0.4375,0.375,0.25,0.125,-1.25,1,0.875,0.75,0.5,0.25,-2.5,8,7,6,4,2,-20,20,5,5,0,0,0,5,10,0,20,0,0,0,0,0,0,0,0,5,5,10,10,40,5,5,5,0,0,10,0,5,0,0,-10,5,5,5,0,0,0,0,0,0,0,0,0,10,20,40,0,10,5,0,0,5,20,0,0,5,0,0,0,0,0,0,0,0,5,5,10,,,,
Very Appropriate,20,,Heat protection,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,20,5,-20,-20,80,40,20,5,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,-5,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,5,0,0,0,0,-5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,15,,Damage repair,1,,0,0,0,0,0,0,0,0,0,0,2.5,5,0,0,0,0,0,0,0,0,5,10,10,5,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,10,10,20,0,10,5,-5,-5,40,40,20,10,-10,80,80,80,80,40,-10,16,14,12,8,4,-40,0.5,0.4375,0.375,0.25,0.125,-1.25,0.5,0.4375,0.375,0.25,0.125,-1.25,8,7,6,4,2,-20,40,5,10,0,0,0,0,40,5,40,0,-10,0,0,0,0,0,0,0,0,5,5,20,0,0,0,0,0,0,0,5,0,10,-10,5,5,5,0,0,0,0,0,0,0,0,0,40,20,10,-20,20,10,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,20,80,,,,
